epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.47320061922073364,1.8726152181625366,0.0010000000474974513,0.16756756603717804,2.608917713165283
1,0.6163859367370605,1.3130788803100586,0.0010000000474974513,0.0648648664355278,3.180894374847412
2,0.674578845500946,1.1574798822402954,0.0010000000474974513,0.027027027681469917,2.9405689239501953
3,0.7044410705566406,0.994988739490509,0.0010000000474974513,0.037837836891412735,3.363859176635742
4,0.7098008990287781,0.9503438472747803,0.0010000000474974513,0.0324324332177639,3.7573776245117188
5,0.7480857372283936,0.8318520784378052,0.0010000000474974513,0.318918913602829,2.4431862831115723
6,0.7503828406333923,0.7958672046661377,0.0010000000474974513,0.15675675868988037,2.6318585872650146
7,0.7618682980537415,0.786388635635376,0.0010000000474974513,0.21621622145175934,2.870912551879883
8,0.7679938673973083,0.7599867582321167,0.0010000000474974513,0.07027027010917664,3.7339303493499756
9,0.7718223333358765,0.7172571420669556,0.0010000000474974513,0.01621621660888195,3.1998393535614014
10,0.8093414902687073,0.6373118162155151,0.00010000000474974513,0.318918913602829,2.779193639755249
11,0.845329225063324,0.49250560998916626,0.00010000000474974513,0.7621621489524841,0.9109873175621033
12,0.8460949659347534,0.4783001244068146,0.00010000000474974513,0.7567567825317383,0.9248679280281067
13,0.8392036557197571,0.5049569010734558,1.0000000656873453e-05,0.8756756782531738,0.6863042116165161
14,0.8460949659347534,0.4531988799571991,1.0000000656873453e-05,0.8702702522277832,0.6066159009933472
